No,Product Type,Keywords,Primary (Hex),Secondary (Hex),CTA (Hex),Background (Hex),Text (Hex),Border (Hex),Notes,Tailwind_Config,Glow_Effects,Dark_Mode_Colors,Semantic_Mapping,Data_Viz_Palette,Semantic_Tokens
90,Architecture / Interior,"architecture, interior, design, luxury",#171717,#404040,#D4AF37,#FFFFFF,#171717,#E5E5E5,Monochrome + Gold Accent + High Imagery,"{ primary: '#171717', secondary: '#404040', cta: '#D4AF37', background: '#FFFFFF', foreground: '#171717' }","box-shadow: 0 0 20px rgba(212,175,55,0.4); text-shadow: 0 0 10px rgba(212,175,55,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#202020', secondary: '#535353', cta: '#D4AF37', border: '#27272A' }","{""background"":""#FFFFFF"",""foreground"":""#171717"",""primary"":""#171717"",""primary-foreground"":""#FFFFFF"",""secondary"":""#404040"",""secondary-foreground"":""#FFFFFF"",""muted"":""#636363"",""accent"":""#D4AF37"",""destructive"":""#EF4444""}","[""#4a4a4a"",""#303030"",""#171717"",""#000000"",""#000000"",""#404040"",""#262626""]","{""background"":""#FFFFFF"",""foreground"":""#171717"",""card"":""#FFFFFF"",""card-foreground"":""#171717"",""popover"":""#FFFFFF"",""popover-foreground"":""#171717"",""primary"":""#171717"",""primary-foreground"":""#FFFFFF"",""secondary"":""#404040"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#D4AF37"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E5E5E5"",""input"":""#E5E5E5"",""ring"":""#171717""}"
91,Quantum Computing,"quantum, qubit, tech",#00FFFF,#7B61FF,#FF00FF,#050510,#E0E0FF,#333344,Interference patterns + Neon + Deep Dark,"{ primary: '#00FFFF', secondary: '#7B61FF', cta: '#FF00FF', background: '#050510', foreground: '#E0E0FF' }","box-shadow: 0 0 20px rgba(255,0,255,0.4); text-shadow: 0 0 10px rgba(255,0,255,0.6);","{ background: '#050510', text: '#E0E0FF', primary: '#00FFFF', secondary: '#7B61FF', cta: '#FF00FF', border: '#333344' }","{""background"":""#050510"",""foreground"":""#E0E0FF"",""primary"":""#00FFFF"",""primary-foreground"":""#000000"",""secondary"":""#7B61FF"",""secondary-foreground"":""#FFFFFF"",""muted"":""#ffffff"",""accent"":""#FF00FF"",""destructive"":""#EF4444""}","[""#66ffff"",""#33ffff"",""#00FFFF"",""#00cccc"",""#009999"",""#7b61ff"",""#502eff""]","{""background"":""#050510"",""foreground"":""#E0E0FF"",""card"":""#11111B"",""card-foreground"":""#E0E0FF"",""popover"":""#11111B"",""popover-foreground"":""#E0E0FF"",""primary"":""#00FFFF"",""primary-foreground"":""#000000"",""secondary"":""#7B61FF"",""secondary-foreground"":""#FFFFFF"",""muted"":""#1E1E27"",""muted-foreground"":""#A1A1AA"",""accent"":""#FF00FF"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#333344"",""input"":""#2A2A33"",""ring"":""#00FFFF""}"
92,Biohacking / Longevity,"bio, health, science",#FF4D4D,#4D94FF,#00E676,#F5F5F7,#1C1C1E,#E5E5EA,Biological red/blue + Clinical white,"{ primary: '#FF4D4D', secondary: '#4D94FF', cta: '#00E676', background: '#F5F5F7', foreground: '#1C1C1E' }","box-shadow: 0 0 20px rgba(0,230,118,0.4); text-shadow: 0 0 10px rgba(0,230,118,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#FF4D4D', secondary: '#4D94FF', cta: '#00E676', border: '#27272A' }","{""background"":""#F5F5F7"",""foreground"":""#1C1C1E"",""primary"":""#FF4D4D"",""primary-foreground"":""#000000"",""secondary"":""#4D94FF"",""secondary-foreground"":""#000000"",""muted"":""#66666d"",""accent"":""#00E676"",""destructive"":""#EF4444""}","[""#ffb3b3"",""#ff8080"",""#FF4D4D"",""#ff1a1a"",""#e60000"",""#4d94ff"",""#1a75ff""]","{""background"":""#F5F5F7"",""foreground"":""#1C1C1E"",""card"":""#FFFFFF"",""card-foreground"":""#1C1C1E"",""popover"":""#FFFFFF"",""popover-foreground"":""#1C1C1E"",""primary"":""#FF4D4D"",""primary-foreground"":""#000000"",""secondary"":""#4D94FF"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#00E676"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E5E5EA"",""input"":""#E5E5EA"",""ring"":""#FF4D4D""}"
93,Autonomous Systems,"drone, robot, fleet",#00FF41,#008F11,#FF3333,#0D1117,#E6EDF3,#30363D,Terminal Green + Tactical Dark,"{ primary: '#00FF41', secondary: '#008F11', cta: '#FF3333', background: '#0D1117', foreground: '#E6EDF3' }","box-shadow: 0 0 20px rgba(255,51,51,0.4); text-shadow: 0 0 10px rgba(255,51,51,0.6);","{ background: '#0D1117', text: '#E6EDF3', primary: '#00FF41', secondary: '#008F11', cta: '#FF3333', border: '#30363D' }","{""background"":""#0D1117"",""foreground"":""#E6EDF3"",""primary"":""#00FF41"",""primary-foreground"":""#000000"",""secondary"":""#008F11"",""secondary-foreground"":""#FFFFFF"",""muted"":""#ffffff"",""accent"":""#FF3333"",""destructive"":""#EF4444""}","[""#66ff8d"",""#33ff67"",""#00FF41"",""#00cc34"",""#009927"",""#008f11"",""#005c0b""]","{""background"":""#0D1117"",""foreground"":""#E6EDF3"",""card"":""#191C22"",""card-foreground"":""#E6EDF3"",""popover"":""#191C22"",""popover-foreground"":""#E6EDF3"",""primary"":""#00FF41"",""primary-foreground"":""#000000"",""secondary"":""#008F11"",""secondary-foreground"":""#FFFFFF"",""muted"":""#25282E"",""muted-foreground"":""#A1A1AA"",""accent"":""#FF3333"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#30363D"",""input"":""#313439"",""ring"":""#00FF41""}"
94,Generative AI Art,"art, gen-ai, creative",#111111,#333333,#FFFFFF,#FAFAFA,#000000,#E5E5E5,Canvas Neutral + High Contrast,"{ primary: '#111111', secondary: '#333333', cta: '#FFFFFF', background: '#FAFAFA', foreground: '#000000' }","box-shadow: 0 0 20px rgba(255,255,255,0.4); text-shadow: 0 0 10px rgba(255,255,255,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#171717', secondary: '#424242', cta: '#FFFFFF', border: '#27272A' }","{""background"":""#FAFAFA"",""foreground"":""#000000"",""primary"":""#111111"",""primary-foreground"":""#FFFFFF"",""secondary"":""#333333"",""secondary-foreground"":""#FFFFFF"",""muted"":""#4d4d4d"",""accent"":""#FFFFFF"",""destructive"":""#EF4444""}","[""#444444"",""#2a2a2a"",""#111111"",""#000000"",""#000000"",""#333333"",""#1a1a1a""]","{""background"":""#FAFAFA"",""foreground"":""#000000"",""card"":""#FFFFFF"",""card-foreground"":""#000000"",""popover"":""#FFFFFF"",""popover-foreground"":""#000000"",""primary"":""#111111"",""primary-foreground"":""#FFFFFF"",""secondary"":""#333333"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#FFFFFF"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E5E5E5"",""input"":""#E5E5E5"",""ring"":""#111111""}"
95,Spatial / Vision OS,"spatial, glass, vision",#FFFFFF,#E5E5E5,#007AFF,#888888,#000000,#FFFFFF,Glass opacity 20% + System Blue,"{ primary: '#FFFFFF', secondary: '#E5E5E5', cta: '#007AFF', background: '#888888', foreground: '#000000' }","box-shadow: 0 0 20px rgba(0,122,255,0.4); text-shadow: 0 0 10px rgba(0,122,255,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#FFFFFF', secondary: '#E5E5E5', cta: '#007AFF', border: '#27272A' }","{""background"":""#888888"",""foreground"":""#000000"",""primary"":""#FFFFFF"",""primary-foreground"":""#000000"",""secondary"":""#E5E5E5"",""secondary-foreground"":""#000000"",""muted"":""#4d4d4d"",""accent"":""#007AFF"",""destructive"":""#EF4444""}","[""#ffffff"",""#ffffff"",""#FFFFFF"",""#e6e6e6"",""#cccccc"",""#e5e5e5"",""#cbcbcb""]","{""background"":""#888888"",""foreground"":""#000000"",""card"":""#FFFFFF"",""card-foreground"":""#000000"",""popover"":""#FFFFFF"",""popover-foreground"":""#000000"",""primary"":""#FFFFFF"",""primary-foreground"":""#000000"",""secondary"":""#E5E5E5"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#007AFF"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#FFFFFF"",""input"":""#FFFFFF"",""ring"":""#FFFFFF""}"
96,Climate Tech,"climate, green, energy",#2E8B57,#87CEEB,#FFD700,#F0FFF4,#1A3320,#C6E6C6,Nature Green + Solar Yellow + Air Blue,"{ primary: '#2E8B57', secondary: '#87CEEB', cta: '#FFD700', background: '#F0FFF4', foreground: '#1A3320' }","box-shadow: 0 0 20px rgba(255,215,0,0.4); text-shadow: 0 0 10px rgba(255,215,0,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#2E8B57', secondary: '#87CEEB', cta: '#FFD700', border: '#27272A' }","{""background"":""#F0FFF4"",""foreground"":""#1A3320"",""primary"":""#2E8B57"",""primary-foreground"":""#FFFFFF"",""secondary"":""#87CEEB"",""secondary-foreground"":""#000000"",""muted"":""#4e9860"",""accent"":""#FFD700"",""destructive"":""#EF4444""}","[""#57c889"",""#3bb16f"",""#2E8B57"",""#21653f"",""#153e27"",""#87ceeb"",""#5bbce4""]","{""background"":""#F0FFF4"",""foreground"":""#1A3320"",""card"":""#FFFFFF"",""card-foreground"":""#1A3320"",""popover"":""#FFFFFF"",""popover-foreground"":""#1A3320"",""primary"":""#2E8B57"",""primary-foreground"":""#FFFFFF"",""secondary"":""#87CEEB"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#FFD700"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#C6E6C6"",""input"":""#C6E6C6"",""ring"":""#2E8B57""}"
97,AI/ML Product,"ai, ml, machine-learning, neural, artificial-intelligence",#6366F1,#8B5CF6,#10B981,#F8FAFC,#1E1B4B,#E0E7FF,Electric Indigo + Neural Purple + Success Green,"{ primary: '#6366F1', secondary: '#8B5CF6', cta: '#10B981', background: '#F8FAFC', foreground: '#1E1B4B' }","box-shadow: 0 0 20px rgba(16,185,129,0.4); text-shadow: 0 0 10px rgba(16,185,129,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#6366F1', secondary: '#8B5CF6', cta: '#10B981', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E1B4B"",""primary"":""#6366F1"",""primary-foreground"":""#FFFFFF"",""secondary"":""#8B5CF6"",""secondary-foreground"":""#FFFFFF"",""muted"":""#4b44bb"",""accent"":""#10B981"",""destructive"":""#EF4444""}","[""#c1c2f9"",""#9294f5"",""#6366F1"",""#3438ed"",""#1418da"",""#8b5cf6"",""#692cf3""]","{""background"":""#F8FAFC"",""foreground"":""#1E1B4B"",""card"":""#FFFFFF"",""card-foreground"":""#1E1B4B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E1B4B"",""primary"":""#6366F1"",""primary-foreground"":""#FFFFFF"",""secondary"":""#8B5CF6"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#10B981"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E0E7FF"",""input"":""#E0E7FF"",""ring"":""#6366F1""}"
98,Fintech Trust,"fintech, banking, finance, trust, security",#0A2540,#1E3A5F,#00D632,#F8FAFC,#0A2540,#CBD5E1,Deep Navy + Trust Blue + Money Green + Gold accent,"{ primary: '#0A2540', secondary: '#1E3A5F', cta: '#00D632', background: '#F8FAFC', foreground: '#0A2540' }","box-shadow: 0 0 20px rgba(0,214,50,0.4); text-shadow: 0 0 10px rgba(0,214,50,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#0E3359', secondary: '#274B7B', cta: '#00D632', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#0A2540"",""primary"":""#0A2540"",""primary-foreground"":""#FFFFFF"",""secondary"":""#1E3A5F"",""secondary-foreground"":""#FFFFFF"",""muted"":""#1f71c4"",""accent"":""#00D632"",""destructive"":""#EF4444""}","[""#185898"",""#113e6c"",""#0A2540"",""#030b14"",""#000000"",""#1e3a5f"",""#122238""]","{""background"":""#F8FAFC"",""foreground"":""#0A2540"",""card"":""#FFFFFF"",""card-foreground"":""#0A2540"",""popover"":""#FFFFFF"",""popover-foreground"":""#0A2540"",""primary"":""#0A2540"",""primary-foreground"":""#FFFFFF"",""secondary"":""#1E3A5F"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#00D632"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#CBD5E1"",""input"":""#CBD5E1"",""ring"":""#0A2540""}"
99,HealthTech Calm,"health, medical, telehealth, wellness, care",#0891B2,#67E8F9,#10B981,#ECFEFF,#164E63,#A5F3FC,Calm Teal + Soft Cyan + Health Green + Trust,"{ primary: '#0891B2', secondary: '#67E8F9', cta: '#10B981', background: '#ECFEFF', foreground: '#164E63' }","box-shadow: 0 0 20px rgba(16,185,129,0.4); text-shadow: 0 0 10px rgba(16,185,129,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#0891B2', secondary: '#67E8F9', cta: '#10B981', border: '#27272A' }","{""background"":""#ECFEFF"",""foreground"":""#164E63"",""primary"":""#0891B2"",""primary-foreground"":""#FFFFFF"",""secondary"":""#67E8F9"",""secondary-foreground"":""#000000"",""muted"":""#3eabd4"",""accent"":""#10B981"",""destructive"":""#EF4444""}","[""#2bcef5"",""#0ab9e3"",""#0891B2"",""#066981"",""#044150"",""#67e8f9"",""#36e1f7""]","{""background"":""#ECFEFF"",""foreground"":""#164E63"",""card"":""#FFFFFF"",""card-foreground"":""#164E63"",""popover"":""#FFFFFF"",""popover-foreground"":""#164E63"",""primary"":""#0891B2"",""primary-foreground"":""#FFFFFF"",""secondary"":""#67E8F9"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#10B981"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#A5F3FC"",""input"":""#A5F3FC"",""ring"":""#0891B2""}"
100,Climate Tech Green,"climate, sustainability, eco, green, carbon",#16A34A,#4ADE80,#84CC16,#F0FDF4,#14532D,#BBF7D0,Forest Green + Lime + Earth Brown accents,"{ primary: '#16A34A', secondary: '#4ADE80', cta: '#84CC16', background: '#F0FDF4', foreground: '#14532D' }","box-shadow: 0 0 20px rgba(132,204,22,0.4); text-shadow: 0 0 10px rgba(132,204,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#16A34A', secondary: '#4ADE80', cta: '#84CC16', border: '#27272A' }","{""background"":""#F0FDF4"",""foreground"":""#14532D"",""primary"":""#16A34A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#4ADE80"",""secondary-foreground"":""#000000"",""muted"":""#32ce70"",""accent"":""#84CC16"",""destructive"":""#EF4444""}","[""#3be479"",""#1cd05e"",""#16A34A"",""#107636"",""#0a4921"",""#4ade80"",""#26cf64""]","{""background"":""#F0FDF4"",""foreground"":""#14532D"",""card"":""#FFFFFF"",""card-foreground"":""#14532D"",""popover"":""#FFFFFF"",""popover-foreground"":""#14532D"",""primary"":""#16A34A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#4ADE80"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#84CC16"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#BBF7D0"",""input"":""#BBF7D0"",""ring"":""#16A34A""}"
101,Creator Economy,"creator, influencer, social, content, viral",#EC4899,#F472B6,#8B5CF6,#FDF2F8,#831843,#FBCFE8,Vibrant Pink + Purple gradient + Playful accents,"{ primary: '#EC4899', secondary: '#F472B6', cta: '#8B5CF6', background: '#FDF2F8', foreground: '#831843' }","box-shadow: 0 0 20px rgba(139,92,246,0.4); text-shadow: 0 0 10px rgba(139,92,246,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#EC4899', secondary: '#F472B6', cta: '#8B5CF6', border: '#27272A' }","{""background"":""#FDF2F8"",""foreground"":""#831843"",""primary"":""#EC4899"",""primary-foreground"":""#000000"",""secondary"":""#F472B6"",""secondary-foreground"":""#000000"",""muted"":""#e0548c"",""accent"":""#8B5CF6"",""destructive"":""#EF4444""}","[""#f6a4cc"",""#f176b3"",""#EC4899"",""#e71a7f"",""#bb1366"",""#f472b6"",""#f0439d""]","{""background"":""#FDF2F8"",""foreground"":""#831843"",""card"":""#FFFFFF"",""card-foreground"":""#831843"",""popover"":""#FFFFFF"",""popover-foreground"":""#831843"",""primary"":""#EC4899"",""primary-foreground"":""#000000"",""secondary"":""#F472B6"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#8B5CF6"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#FBCFE8"",""input"":""#FBCFE8"",""ring"":""#EC4899""}"
102,Enterprise Neutral 2025,"enterprise, corporate, professional, modern, neutral",#334155,#64748B,#3B82F6,#F8FAFC,#0F172A,#E2E8F0,Modern Slate + Cool Gray + Single Blue accent,"{ primary: '#334155', secondary: '#64748B', cta: '#3B82F6', background: '#F8FAFC', foreground: '#0F172A' }","box-shadow: 0 0 20px rgba(59,130,246,0.4); text-shadow: 0 0 10px rgba(59,130,246,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#475B76', secondary: '#64748B', cta: '#3B82F6', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#0F172A"",""primary"":""#334155"",""primary-foreground"":""#FFFFFF"",""secondary"":""#64748B"",""secondary-foreground"":""#FFFFFF"",""muted"":""#37559b"",""accent"":""#3B82F6"",""destructive"":""#EF4444""}","[""#597295"",""#465975"",""#334155"",""#202935"",""#0d1015"",""#64748b"",""#4f5b6d""]","{""background"":""#F8FAFC"",""foreground"":""#0F172A"",""card"":""#FFFFFF"",""card-foreground"":""#0F172A"",""popover"":""#FFFFFF"",""popover-foreground"":""#0F172A"",""primary"":""#334155"",""primary-foreground"":""#FFFFFF"",""secondary"":""#64748B"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#3B82F6"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#334155""}"
103,Dark Mode OLED,"oled, dark, amoled, night, power-saving",#000000,#0A0A0A,#3B82F6,#000000,#FAFAFA,#1F1F1F,Pure Black + Near Black + Vibrant accent + High contrast,"{ primary: '#000000', secondary: '#0A0A0A', cta: '#3B82F6', background: '#000000', foreground: '#FAFAFA' }","box-shadow: 0 0 20px rgba(59,130,246,0.4); text-shadow: 0 0 10px rgba(59,130,246,0.6);","{ background: '#000000', text: '#FAFAFA', primary: '#000000', secondary: '#0A0A0A', cta: '#3B82F6', border: '#1F1F1F' }","{""background"":""#000000"",""foreground"":""#FAFAFA"",""primary"":""#000000"",""primary-foreground"":""#FFFFFF"",""secondary"":""#0A0A0A"",""secondary-foreground"":""#FFFFFF"",""muted"":""#ffffff"",""accent"":""#3B82F6"",""destructive"":""#EF4444""}","[""#333333"",""#1a1a1a"",""#000000"",""#000000"",""#000000"",""#0a0a0a"",""#000000""]","{""background"":""#000000"",""foreground"":""#FAFAFA"",""card"":""#0C0C0C"",""card-foreground"":""#FAFAFA"",""popover"":""#0C0C0C"",""popover-foreground"":""#FAFAFA"",""primary"":""#000000"",""primary-foreground"":""#FFFFFF"",""secondary"":""#0A0A0A"",""secondary-foreground"":""#FFFFFF"",""muted"":""#191919"",""muted-foreground"":""#A1A1AA"",""accent"":""#3B82F6"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#1F1F1F"",""input"":""#262626"",""ring"":""#000000""}"
104,Pantone 2024 Peach Fuzz,"pantone, 2024, peach, warm, cozy",#FFBE98,#FFD4B8,#FF8552,#FFF5EE,#5D3A29,#FFE4D6,Peach Fuzz 13-1023 ecosystem + Warm neutrals,"{ primary: '#FFBE98', secondary: '#FFD4B8', cta: '#FF8552', background: '#FFF5EE', foreground: '#5D3A29' }","box-shadow: 0 0 20px rgba(255,133,82,0.4); text-shadow: 0 0 10px rgba(255,133,82,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#FFBE98', secondary: '#FFD4B8', cta: '#FF8552', border: '#27272A' }","{""background"":""#FFF5EE"",""foreground"":""#5D3A29"",""primary"":""#FFBE98"",""primary-foreground"":""#000000"",""secondary"":""#FFD4B8"",""secondary-foreground"":""#000000"",""muted"":""#bb8164"",""accent"":""#FF8552"",""destructive"":""#EF4444""}","[""#fffefe"",""#ffdecb"",""#FFBE98"",""#ff9e65"",""#ff7e32"",""#ffd4b8"",""#ffb585""]","{""background"":""#FFF5EE"",""foreground"":""#5D3A29"",""card"":""#FFFFFF"",""card-foreground"":""#5D3A29"",""popover"":""#FFFFFF"",""popover-foreground"":""#5D3A29"",""primary"":""#FFBE98"",""primary-foreground"":""#000000"",""secondary"":""#FFD4B8"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#FF8552"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#FFE4D6"",""input"":""#FFE4D6"",""ring"":""#FFBE98""}"
105,Pantone 2025 Mocha Mousse,"pantone, 2025, mocha, brown, earthy",#A47551,#C49A6C,#8B5A2B,#FAF5F0,#3D2914,#E8DDD4,Mocha Mousse 17-1230 ecosystem + Coffee tones,"{ primary: '#A47551', secondary: '#C49A6C', cta: '#8B5A2B', background: '#FAF5F0', foreground: '#3D2914' }","box-shadow: 0 0 20px rgba(139,90,43,0.4); text-shadow: 0 0 10px rgba(139,90,43,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#A47551', secondary: '#C49A6C', cta: '#A66C33', border: '#27272A' }","{""background"":""#FAF5F0"",""foreground"":""#3D2914"",""primary"":""#A47551"",""primary-foreground"":""#FFFFFF"",""secondary"":""#C49A6C"",""secondary-foreground"":""#000000"",""muted"":""#b0763a"",""accent"":""#8B5A2B"",""destructive"":""#EF4444""}","[""#c9aa92"",""#b88f70"",""#A47551"",""#825d40"",""#60442f"",""#c49a6c"",""#b48148""]","{""background"":""#FAF5F0"",""foreground"":""#3D2914"",""card"":""#FFFFFF"",""card-foreground"":""#3D2914"",""popover"":""#FFFFFF"",""popover-foreground"":""#3D2914"",""primary"":""#A47551"",""primary-foreground"":""#FFFFFF"",""secondary"":""#C49A6C"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#8B5A2B"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E8DDD4"",""input"":""#E8DDD4"",""ring"":""#A47551""}"
106,Pantone 2026 Serene Blue,"pantone, 2026, blue, calm, predicted",#6B9AC4,#A4C4E0,#4A7BA7,#F0F7FF,#1E3A5F,#D6E8F5,Predicted Serene Blue ecosystem + Tranquil tones,"{ primary: '#6B9AC4', secondary: '#A4C4E0', cta: '#4A7BA7', background: '#F0F7FF', foreground: '#1E3A5F' }","box-shadow: 0 0 20px rgba(74,123,167,0.4); text-shadow: 0 0 10px rgba(74,123,167,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#6B9AC4', secondary: '#A4C4E0', cta: '#4A7BA7', border: '#27272A' }","{""background"":""#F0F7FF"",""foreground"":""#1E3A5F"",""primary"":""#6B9AC4"",""primary-foreground"":""#000000"",""secondary"":""#A4C4E0"",""secondary-foreground"":""#000000"",""muted"":""#4f83c7"",""accent"":""#4A7BA7"",""destructive"":""#EF4444""}","[""#b4cce1"",""#8fb3d3"",""#6B9AC4"",""#4881b4"",""#396790"",""#a4c4e0"",""#7eabd3""]","{""background"":""#F0F7FF"",""foreground"":""#1E3A5F"",""card"":""#FFFFFF"",""card-foreground"":""#1E3A5F"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E3A5F"",""primary"":""#6B9AC4"",""primary-foreground"":""#000000"",""secondary"":""#A4C4E0"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#4A7BA7"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#D6E8F5"",""input"":""#D6E8F5"",""ring"":""#6B9AC4""}"
107,Accessible High Contrast,"accessible, wcag, high-contrast, a11y, inclusive",#000000,#0000EE,#006400,#FFFFFF,#000000,#000000,Pure Black + Link Blue + High Contrast Green 7:1+ ratio,"{ primary: '#000000', secondary: '#0000EE', cta: '#006400', background: '#FFFFFF', foreground: '#000000' }","box-shadow: 0 0 20px rgba(0,100,0,0.4); text-shadow: 0 0 10px rgba(0,100,0,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#000000', secondary: '#0000FF', cta: '#007800', border: '#27272A' }","{""background"":""#FFFFFF"",""foreground"":""#000000"",""primary"":""#000000"",""primary-foreground"":""#FFFFFF"",""secondary"":""#0000EE"",""secondary-foreground"":""#FFFFFF"",""muted"":""#4d4d4d"",""accent"":""#006400"",""destructive"":""#EF4444""}","[""#333333"",""#1a1a1a"",""#000000"",""#000000"",""#000000"",""#0000ee"",""#0000bb""]","{""background"":""#FFFFFF"",""foreground"":""#000000"",""card"":""#FFFFFF"",""card-foreground"":""#000000"",""popover"":""#FFFFFF"",""popover-foreground"":""#000000"",""primary"":""#000000"",""primary-foreground"":""#FFFFFF"",""secondary"":""#0000EE"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#006400"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#000000"",""input"":""#000000"",""ring"":""#000000""}"
