"STT","Style Category","Type","Keywords","Primary Colors","Secondary Colors","Effects & Animation","Best For","Do Not Use For","Light Mode ✓","Dark Mode ✓","Performance","Accessibility","Mobile-Friendly","Conversion-Focused","Framework Compatibility","Era/Origin","Complexity","CSS_Code","Motion_Config","Animation_Variants"
"47","Exaggerated Minimalism","General","Bold minimalism, oversized typography, high contrast, negative space, loud minimal, statement design","#000000 (Black), #FFFFFF (White), single vibrant accent only","Minimal - single accent color, no secondary colors, extreme restraint","font-size: clamp(3rem 10vw 12rem), font-weight: 900, letter-spacing: -0.05em, massive whitespace","Fashion, architecture, portfolios, agency landing pages, luxury brands, editorial","E-commerce catalogs, dashboards, forms, data-heavy, elderly users, complex apps","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AA","✓ High","✓ High","Tailwind 10/10, Typography.js 10/10","2020s Modern","Low",".exaggerated-minimal { background: #FFFFFF; color: #000000; padding: 10vh 5vw; } .exaggerated-minimal h1 { font-size: clamp(3rem, 10vw, 12rem); font-weight: 900; letter-spacing: -0.05em; line-height: 0.9; margin: 0; } .exaggerated-minimal p { font-size: clamp(1rem, 2vw, 1.5rem); max-width: 40ch; } .exaggerated-minimal a { color: inherit; text-decoration: none; border-bottom: 3px solid currentColor; }","{""type"":""tween"",""ease"":""easeInOut"",""duration"":0.3}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"48","Kinetic Typography","General","Motion text, animated type, moving letters, dynamic, typing effect, morphing, scroll-triggered text","Flexible - high contrast recommended, bold colors for emphasis, animation-friendly palette","Accent colors for emphasis, transition colors, gradient text fills","@keyframes text animation, typing effect, background-clip: text, GSAP ScrollTrigger, split text","Hero sections, marketing sites, video platforms, storytelling, creative portfolios, landing pages","Long-form content, accessibility-critical, data interfaces, forms, elderly users","✓ Full","✓ Full","⚠ Moderate","❌ Poor (motion)","✓ Good","✓ Very High","GSAP 10/10, Framer Motion 10/10","2020s Modern","High",".kinetic-text { font-size: clamp(2rem, 8vw, 6rem); font-weight: 800; overflow: hidden; } .kinetic-letter { display: inline-block; animation: letter-rise 0.6s ease forwards; opacity: 0; transform: translateY(100%); } @keyframes letter-rise { to { opacity: 1; transform: translateY(0); } } .kinetic-gradient { background: linear-gradient(90deg, #3B82F6, #8B5CF6, #EC4899); background-clip: text; -webkit-background-clip: text; color: transparent; background-size: 200% auto; animation: gradient-shift 3s linear infinite; } @keyframes gradient-shift { to { background-position: 200% center; } }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"49","Parallax Storytelling","General","Scroll-driven, narrative, layered scrolling, immersive, progressive disclosure, cinematic, scroll-triggered","Story-dependent, often gradients and natural colors, section-specific palettes","Section transition colors, depth layer colors, narrative mood colors","transform: translateY(scroll), position: fixed/sticky, perspective: 1px, scroll-triggered animations","Brand storytelling, product launches, case studies, portfolios, annual reports, marketing campaigns","E-commerce, dashboards, mobile-first, SEO-critical, accessibility-required","✓ Full","✓ Full","❌ Poor","❌ Poor (motion)","✗ Low","✓ High","GSAP ScrollTrigger 10/10, Locomotive Scroll 10/10","2020s Modern","High",".parallax-container { perspective: 1px; height: 100vh; overflow-x: hidden; overflow-y: auto; } .parallax-layer { position: absolute; inset: 0; } .parallax-back { transform: translateZ(-2px) scale(3); } .parallax-mid { transform: translateZ(-1px) scale(2); } .parallax-front { transform: translateZ(0); } .story-section { min-height: 100vh; display: flex; align-items: center; justify-content: center; opacity: 0; transform: translateY(50px); transition: all 600ms ease-out; } .story-section.visible { opacity: 1; transform: translateY(0); }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"50","Swiss Modernism 2.0","General","Grid system, Helvetica, modular, asymmetric, international style, rational, clean, mathematical spacing","#000000, #FFFFFF, #F5F5F5, single vibrant accent only","Minimal secondary, accent for emphasis only, no gradients","display: grid, grid-template-columns: repeat(12 1fr), gap: 1rem, mathematical ratios, clear hierarchy","Corporate sites, architecture, editorial, SaaS, museums, professional services, documentation","Playful brands, children's sites, entertainment, gaming, emotional storytelling","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AAA","✓ High","✓ High","Tailwind 10/10, Bootstrap 9/10, Foundation 10/10","1950s Swiss + 2020s","Low",".swiss-grid { display: grid; grid-template-columns: repeat(12, 1fr); gap: 1.5rem; max-width: 1200px; margin: 0 auto; } .swiss-grid h1 { font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-weight: 700; font-size: 3rem; letter-spacing: -0.02em; line-height: 1.1; } .swiss-grid p { font-size: 1rem; line-height: 1.618; max-width: 65ch; } .swiss-accent { color: #FF0000; } .swiss-rule { border: none; border-top: 2px solid #000000; margin: 2rem 0; }","{""type"":""tween"",""ease"":""easeInOut"",""duration"":0.3}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"51","HUD / Sci-Fi FUI","General","Futuristic, technical, wireframe, neon, data, transparency, iron man, sci-fi, interface","Neon Cyan #00FFFF, Holographic Blue #0080FF, Alert Red #FF0000","Transparent Black, Grid Lines #333333","Glow effects, scanning animations, ticker text, blinking markers, fine line drawing","Sci-fi games, space tech, cybersecurity, movie props, immersive dashboards","Standard corporate, reading heavy content, accessible public services","✓ Low","✓ Full","⚠ Moderate (renders)","⚠ Poor (thin lines)","◐ Medium","✗ Low","React 9/10, Canvas 10/10","2010s Sci-Fi","High",".hud { background: rgba(0,0,0,0.9); color: #00FFFF; font-family: 'Orbitron', 'Share Tech Mono', monospace; text-transform: uppercase; letter-spacing: 0.1em; } .hud-panel { border: 1px solid rgba(0,255,255,0.3); background: rgba(0,255,255,0.05); box-shadow: 0 0 20px rgba(0,255,255,0.1), inset 0 0 20px rgba(0,255,255,0.05); } .hud-glow { text-shadow: 0 0 10px #00FFFF, 0 0 20px #00FFFF; } .hud-scan { animation: hud-scan 2s linear infinite; } @keyframes hud-scan { 0% { background-position: 0 -100%; } 100% { background-position: 0 100%; } } .hud-blink { animation: hud-blink 1s step-end infinite; } @keyframes hud-blink { 50% { opacity: 0; } }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"52","Pixel Art","General","Retro, 8-bit, 16-bit, gaming, blocky, nostalgic, pixelated, arcade","Primary colors (NES Palette), brights, limited palette","Black outlines, shading via dithering or block colors","Frame-by-frame sprite animation, blinking cursor, instant transitions, marquee text","Indie games, retro tools, creative portfolios, nostalgia marketing, Web3/NFT","Professional corporate, modern SaaS, high-res photography sites","✓ Full","✓ Full","⚡ Excellent","✓ Good (if contrast ok)","✓ High","◐ Medium","CSS (box-shadow) 8/10, Canvas 10/10","1980s Arcade","Medium",".pixel-art { font-family: 'Press Start 2P', 'Courier New', monospace; image-rendering: pixelated; image-rendering: crisp-edges; } .pixel-button { background: #4CAF50; color: #FFFFFF; border: 4px solid #000000; padding: 12px 24px; box-shadow: 4px 4px 0 #000000; transition: none; } .pixel-button:active { transform: translate(4px, 4px); box-shadow: none; } .pixel-border { border: 4px solid #000000; box-shadow: inset -4px -4px 0 #888888, inset 4px 4px 0 #FFFFFF; } .pixel-cursor { animation: cursor-blink 0.5s step-end infinite; } @keyframes cursor-blink { 50% { opacity: 0; } }","{""type"":""tween"",""ease"":""steps(5)"",""duration"":0.1}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"53","Bento Grids","General","Apple-style, modular, cards, organized, clean, hierarchy, grid, rounded, soft","Off-white #F5F5F7, Clean White #FFFFFF, Text #1D1D1F","Subtle accents, soft shadows, blurred backdrops","Hover scale (1.02), soft shadow expansion, smooth layout shifts, content reveal","Product features, dashboards, personal sites, marketing summaries, galleries","Long-form reading, data tables, complex forms","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AA","✓ High","✓ High","CSS Grid 10/10, Tailwind 10/10","2020s Apple/Linear","Low",".bento { display: grid; grid-template-columns: repeat(4, 1fr); grid-auto-rows: minmax(180px, auto); gap: 12px; padding: 12px; background: #F5F5F7; } .bento-item { background: #FFFFFF; border-radius: 20px; padding: 24px; transition: all 300ms ease; } .bento-item:hover { transform: scale(1.02); box-shadow: 0 20px 40px rgba(0,0,0,0.08); } .bento-large { grid-column: span 2; grid-row: span 2; } .bento-wide { grid-column: span 2; } .bento-tall { grid-row: span 2; }","{""type"":""tween"",""ease"":""easeInOut"",""duration"":0.3}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"54","Neubrutalism","General","Bold, ugly-cute, raw, high contrast, flat, hard shadows, distinct, playful, loud","Pop Yellow #FFDE59, Bright Red #FF5757, Black #000000","Lavender #CBA6F7, Mint #76E0C2","Hard hover shifts (4px), marquee scrolling, jitter animations, bold borders","Design tools, creative agencies, Gen Z brands, personal blogs, gumroad-style","Banking, legal, healthcare, serious enterprise, elderly users","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AAA","✓ High","✓ High","Tailwind 10/10, Plain CSS 10/10","2020s Modern Retro","Low",".neubrutalism { background: #FFDE59; border: 3px solid #000000; border-radius: 0; box-shadow: 5px 5px 0 #000000; font-weight: 800; transition: all 100ms ease; } .neubrutalism:hover { transform: translate(-3px, -3px); box-shadow: 8px 8px 0 #000000; } .neubrutalism:active { transform: translate(2px, 2px); box-shadow: 3px 3px 0 #000000; } .neubrutalism-card { background: #FFFFFF; border: 3px solid #000000; padding: 24px; } .neubrutalism-accent { background: #FF5757; }","{""type"":""spring"",""stiffness"":200,""damping"":10,""mass"":0.8}","{""hidden"":{""opacity"":0,""scale"":0.95,""x"":-10,""filter"":""brightness(2)""},""visible"":{""opacity"":1,""scale"":1,""x"":0,""filter"":""brightness(1)""},""hover"":{""x"":5,""filter"":""hue-rotate(90deg)""}}"
"55","Spatial UI (VisionOS)","General","Glass, depth, immersion, spatial, translucent, gaze, gesture, apple, vision-pro","Frosted Glass #FFFFFF (15-30% opacity), System White","Vibrant system colors for active states, deep shadows for depth","Parallax depth, dynamic lighting response, gaze-hover effects, smooth scale on focus","Spatial computing apps, VR/AR interfaces, immersive media, futuristic dashboards","Text-heavy documents, high-contrast requirements, non-3D capable devices","✓ Full","✓ Full","⚠ Moderate (blur cost)","⚠ Contrast risks","✓ High (if adapted)","✓ High","SwiftUI, React (Three.js/Fiber)","2024 Spatial Era","High",".spatial-ui { background: rgba(255,255,255,0.15); backdrop-filter: blur(40px) saturate(180%); -webkit-backdrop-filter: blur(40px) saturate(180%); border-radius: 32px; border: 1px solid rgba(255,255,255,0.2); box-shadow: 0 8px 32px rgba(0,0,0,0.1), inset 0 1px 0 rgba(255,255,255,0.3); transition: all 300ms ease; } .spatial-ui:hover { transform: scale(1.02) translateZ(10px); box-shadow: 0 16px 48px rgba(0,0,0,0.15); } .spatial-panel { padding: 24px; transform-style: preserve-3d; }","{""type"":""spring"",""stiffness"":50,""damping"":20,""mass"":1.2}","{""hidden"":{""opacity"":0,""y"":20,""scale"":0.98},""visible"":{""opacity"":1,""y"":0,""scale"":1},""hover"":{""y"":-5,""boxShadow"":""0 10px 30px rgba(0,0,0,0.1)""}}"
"56","E-Ink / Paper","General","Paper-like, matte, high contrast, texture, reading, calm, slow tech, monochrome","Off-White #FDFBF7, Paper White #F5F5F5, Ink Black #1A1A1A","Pencil Grey #4A4A4A, Highlighter Yellow #FFFF00 (accent)","No motion blur, distinct page turns, grain/noise texture, sharp transitions (no fade)","Reading apps, digital newspapers, minimal journals, distraction-free writing, slow-living brands","Gaming, video platforms, high-energy marketing, dark mode dependent apps","✓ Full","✗ Low (inverted only)","⚡ Excellent","✓ WCAG AAA","✓ High","✓ Medium","Tailwind 10/10, CSS 10/10","2020s Digital Well-being","Low",".e-ink { background: #FDFBF7; color: #1A1A1A; font-family: 'Charter', 'Georgia', serif; line-height: 1.7; } .e-ink::before { content: ''; position: absolute; inset: 0; background: url('data:image/svg+xml,...') repeat; opacity: 0.03; pointer-events: none; } .e-ink-text { font-size: 1.125rem; max-width: 65ch; } .e-ink-highlight { background: #FFFF00; padding: 0 4px; } .e-ink-divider { border: none; border-top: 1px solid #1A1A1A; margin: 2rem 0; }","{""type"":""tween"",""ease"":""steps(5)"",""duration"":0.1}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"57","Gen Z Chaos / Maximalism","General","Chaos, clutter, stickers, raw, collage, mixed media, loud, internet culture, ironic","Clashing Brights: #FF00FF, #00FF00, #FFFF00, #0000FF","Gradients, rainbow, glitch, noise, heavily saturated mix","Marquee scrolls, jitter, sticker layering, GIF overload, random placement, drag-and-drop","Gen Z lifestyle brands, music artists, creative portfolios, viral marketing, fashion","Corporate, government, healthcare, banking, serious tools","✓ Full","✓ Full","⚠ Poor (heavy assets)","❌ Poor","◐ Medium","✓ High (Viral)","CSS-in-JS 8/10","2023+ Internet Core","High",".gen-z-chaos { background: linear-gradient(45deg, #FF00FF, #00FF00, #FFFF00, #0000FF); background-size: 400% 400%; animation: chaos-gradient 3s ease infinite; } @keyframes chaos-gradient { 0%, 100% { background-position: 0% 50%; } 50% { background-position: 100% 50%; } } .chaos-sticker { position: absolute; transform: rotate(var(--rotation, 0deg)); animation: jitter 0.15s infinite; } @keyframes jitter { 0%, 100% { transform: rotate(var(--rotation)) translate(0); } 50% { transform: rotate(var(--rotation)) translate(2px, -2px); } } .chaos-marquee { animation: marquee 10s linear infinite; }","{""type"":""spring"",""stiffness"":200,""damping"":10,""mass"":0.8}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"58","Biomimetic / Organic 2.0","General","Nature-inspired, cellular, fluid, breathing, generative, algorithms, life-like","Cellular Pink #FF9999, Chlorophyll Green #00FF41, Bioluminescent Blue","Deep Ocean #001E3C, Coral #FF7F50, Organic gradients","Breathing animations, fluid morphing, generative growth, physics-based movement","Sustainability tech, biotech, advanced health, meditation, generative art platforms","Standard SaaS, data grids, strict corporate, accounting","✓ Full","✓ Full","⚠ Moderate","✓ Good","✓ Good","✓ High","Canvas 10/10, WebGL 10/10","2024+ Generative","High",".biomimetic { background: linear-gradient(135deg, #001E3C 0%, #00FF41 50%, #FF9999 100%); border-radius: 40% 60% 70% 30% / 40% 50% 60% 50%; animation: morph 8s ease-in-out infinite; } @keyframes morph { 0%, 100% { border-radius: 40% 60% 70% 30% / 40% 50% 60% 50%; } 50% { border-radius: 70% 30% 50% 50% / 30% 30% 70% 70%; } } .biomimetic-breathe { animation: breathe 4s ease-in-out infinite; } @keyframes breathe { 0%, 100% { transform: scale(1); opacity: 0.8; } 50% { transform: scale(1.05); opacity: 1; } } .biomimetic-cell { border-radius: 50%; filter: blur(1px); }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"59","Hyper-Personalized UI","General","AI-driven, dynamic, adaptive, personalized, context-aware, user-specific, recommendation, machine learning","Adaptive brand colors, user preference-based, dynamic accent selection","Context-dependent secondary, mood-based variations, time-of-day adaptive","Real-time content morphing, preference-based layouts, A/B personalization, dynamic theming","AI products, e-commerce, streaming platforms, news aggregators, personalized dashboards","Static content sites, government, legal, print-first","✓ Full","✓ Full","⚡ Good","⚠ Requires fallbacks","✓ High","✓ Very High","React 10/10, Next.js 10/10, Tailwind 9/10","2024+ AI-Era","Medium",".personalized { --user-primary: #3B82F6; --user-accent: #8B5CF6; background: var(--user-bg, #FFFFFF); color: var(--user-text, #1F2937); transition: all 500ms ease; } .personalized-card { background: color-mix(in srgb, var(--user-primary) 5%, white); border-radius: 12px; padding: 20px; } .personalized-cta { background: var(--user-primary); color: white; } .personalized-recommendation { border-left: 3px solid var(--user-accent); padding-left: 16px; } @media (prefers-color-scheme: dark) { .personalized { --user-bg: #0F172A; --user-text: #F1F5F9; } }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"60","Glassmorphism 3.0","General","Enhanced glass, micro-interactions, animated blur, dynamic transparency, depth layers, haptic glass","Translucent white rgba(255,255,255,0.08-0.25), Vibrant underlays #6366F1 #EC4899 #10B981","Gradient blurs, chromatic shifts, iridescent overlays, animated opacity","Dynamic blur on scroll (5-25px), glass ripple on tap, depth-aware parallax, shimmer effects","Modern SaaS, fintech dashboards, iOS-style apps, premium overlays, AI interfaces","Low-end devices, accessibility-critical, print layouts","✓ Full","✓ Full","⚠ Moderate (GPU)","⚠ Text contrast care","✓ Good","✓ High","Tailwind 9/10, Framer Motion 10/10","2024+ Modern","Medium",".glass-3 { background: rgba(255,255,255,0.1); backdrop-filter: blur(20px) saturate(180%); -webkit-backdrop-filter: blur(20px) saturate(180%); border: 1px solid rgba(255,255,255,0.2); border-radius: 24px; box-shadow: 0 8px 32px rgba(0,0,0,0.1); transition: all 300ms cubic-bezier(0.4, 0, 0.2, 1); } .glass-3:hover { backdrop-filter: blur(25px) saturate(200%); transform: translateY(-2px); } .glass-3-shimmer { background: linear-gradient(90deg, transparent, rgba(255,255,255,0.3), transparent); animation: shimmer 2s infinite; } @keyframes shimmer { 0% { transform: translateX(-100%); } 100% { transform: translateX(100%); } }","{""type"":""spring"",""stiffness"":50,""damping"":20,""mass"":1.2}","{""hidden"":{""opacity"":0,""y"":20,""scale"":0.98},""visible"":{""opacity"":1,""y"":0,""scale"":1},""hover"":{""y"":-5,""boxShadow"":""0 10px 30px rgba(0,0,0,0.1)""}}"
"61","Agentic Interface Design","General","AI-native, autonomous, agent-first, conversational, task-oriented, proactive, multi-step, workflow","Neutral base #F8FAFC, AI Purple #7C3AED, Success #10B981, Processing #3B82F6","Status indicators: thinking #F59E0B, acting #3B82F6, complete #10B981, error #EF4444","Thinking indicators (pulsing dots), action previews, step-by-step reveals, confidence bars","AI assistants, autonomous agents, copilot interfaces, workflow automation, task managers","Traditional forms, static dashboards, content-heavy sites","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AA","✓ High","✓ High","React 10/10, Tailwind 10/10","2024+ AI-Era","Medium",".agentic { background: #F8FAFC; font-family: system-ui, sans-serif; } .agent-thinking { display: flex; gap: 6px; padding: 12px; } .agent-thinking span { width: 10px; height: 10px; background: #F59E0B; border-radius: 50%; animation: agent-pulse 1.4s ease-in-out infinite; } .agent-thinking span:nth-child(2) { animation-delay: 0.2s; } .agent-thinking span:nth-child(3) { animation-delay: 0.4s; } @keyframes agent-pulse { 0%, 100% { opacity: 0.4; transform: scale(0.8); } 50% { opacity: 1; transform: scale(1); } } .agent-action { border-left: 3px solid #3B82F6; padding-left: 16px; } .agent-complete { border-left-color: #10B981; }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"62","Spatial UI / VisionOS Style","General","Apple Vision Pro, spatial computing, depth, glass layers, gaze interaction, immersive, floating panels","Frosted Glass White rgba(255,255,255,0.15-0.30), System Blue #007AFF, System Gray #8E8E93","Depth shadows, ambient lighting, environment-aware tints","Gaze-hover scale (1.02-1.05), pinch-select feedback, depth parallax, ambient light response","VR/AR apps, spatial computing, immersive dashboards, future-forward products, Apple ecosystem","2D-only platforms, low-end devices, accessibility-first","✓ Full","✓ Full","⚠ Moderate (3D)","⚠ Depth perception","◐ Medium","✓ High","SwiftUI 10/10, Three.js 9/10, R3F 9/10","2024 Spatial Era","High",".visionos { background: rgba(255,255,255,0.2); backdrop-filter: blur(50px) saturate(200%); -webkit-backdrop-filter: blur(50px) saturate(200%); border-radius: 40px; border: 1px solid rgba(255,255,255,0.3); box-shadow: 0 20px 60px rgba(0,0,0,0.15), inset 0 1px 0 rgba(255,255,255,0.4); transform-style: preserve-3d; transition: all 400ms cubic-bezier(0.4, 0, 0.2, 1); } .visionos:hover { transform: scale(1.03) translateZ(20px); box-shadow: 0 30px 80px rgba(0,0,0,0.2); } .visionos-panel { padding: 32px; } .visionos-button { background: #007AFF; border-radius: 20px; padding: 12px 24px; }","{""type"":""spring"",""stiffness"":50,""damping"":20,""mass"":1.2}","{""hidden"":{""opacity"":0,""y"":20,""scale"":0.98},""visible"":{""opacity"":1,""y"":0,""scale"":1},""hover"":{""y"":-5,""boxShadow"":""0 10px 30px rgba(0,0,0,0.1)""}}"
"63","Bento Grid Design","Landing Page","Modular marketing, Apple-style grid, asymmetric cards, feature showcase, visual hierarchy, scannable","Off-white #F5F5F7, Card White #FFFFFF, Text Dark #1D1D1F, Accent varies","Subtle shadows, gradient cards, video thumbnails, icon accents","Card hover lift (scale 1.02), staggered reveal on scroll, video autoplay on hover","Product marketing, feature pages, portfolios, SaaS landing pages, tech showcases","Dense data tables, real-time dashboards, text-heavy content","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AA","✓ High","✓ Very High","CSS Grid 10/10, Tailwind 10/10, Framer 9/10","2020s Apple/Linear","Low",".bento-landing { display: grid; grid-template-columns: repeat(4, 1fr); grid-auto-rows: minmax(200px, auto); gap: 16px; padding: 24px; background: #F5F5F7; } .bento-card { background: #FFFFFF; border-radius: 24px; padding: 32px; overflow: hidden; transition: all 350ms ease; } .bento-card:hover { transform: scale(1.02); box-shadow: 0 24px 48px rgba(0,0,0,0.1); } .bento-hero { grid-column: span 2; grid-row: span 2; } .bento-feature { grid-column: span 2; } .bento-reveal { opacity: 0; transform: translateY(20px); transition: all 500ms ease; } .bento-reveal.visible { opacity: 1; transform: translateY(0); }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"64","Fluid Design System","General","Variable everything, responsive, adaptive, fluid typography, container queries, dynamic spacing","Fluid scale, responsive palette, adaptive contrast based on viewport","Proportional secondaries, viewport-aware accents","Fluid animations (duration scales with viewport), responsive easing, adaptive density","Design systems, cross-platform apps, responsive dashboards, component libraries","Fixed-width designs, print layouts, legacy browser support","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AA+","✓ Excellent","✓ High","Tailwind v4 10/10, CSS Container Queries 10/10","2024+ Modern","Medium",".fluid { --fluid-min: 320; --fluid-max: 1200; font-size: clamp(1rem, 0.875rem + 0.5vw, 1.25rem); padding: clamp(1rem, 0.5rem + 2vw, 3rem); } .fluid h1 { font-size: clamp(2rem, 1.5rem + 3vw, 4rem); } .fluid-container { container-type: inline-size; } @container (min-width: 400px) { .fluid-card { display: grid; grid-template-columns: 1fr 2fr; } } .fluid-space { gap: clamp(0.5rem, 0.25rem + 1vw, 1.5rem); } .fluid-transition { transition-duration: clamp(150ms, 100ms + 0.1vw, 300ms); }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"65","Eco-Digital Aesthetic","General","Sustainability, low-carbon, efficient, green computing, minimal assets, eco-friendly, conscious design","Earth Green #228B22, Sky Blue #87CEEB, Warm Sand #F4E4BC, Clean White #FAFAFA","Natural gradients, earth tones, recycled paper textures","Minimal animations (reduced motion default), efficient transitions, low-power colors","Sustainability brands, eco-tech, carbon calculators, green energy, environmental apps","High-energy gaming, luxury excess, heavy 3D","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AAA","✓ High","✓ High","Tailwind 10/10, Vanilla CSS 10/10","2024+ Sustainable","Low",".eco-digital { background: #FAFAFA; color: #1A1A1A; font-family: system-ui, sans-serif; } .eco-card { background: #F4E4BC; border-radius: 8px; padding: 20px; border: 1px solid rgba(34,139,34,0.2); } .eco-accent { color: #228B22; } .eco-button { background: #228B22; color: #FFFFFF; border-radius: 4px; padding: 12px 24px; } @media (prefers-reduced-motion: reduce) { .eco-digital * { animation: none !important; transition-duration: 0.01ms !important; } } .eco-efficient { will-change: auto; contain: layout style paint; }","{""type"":""tween"",""ease"":""easeInOut"",""duration"":0.3}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"66","AI-Generative Patterns","General","Procedural backgrounds, generative art, algorithmic design, dynamic patterns, unique visuals","Dynamic generation, user-seeded colors, algorithmic palette","Complementary generated, harmonic variations","Real-time pattern generation, noise-based animations, shader backgrounds, morphing shapes","AI products, creative platforms, unique branding, generative art, NFT platforms","Performance-limited, accessibility-critical, conservative brands","✓ Full","✓ Full","⚠ Moderate (WebGL)","⚠ Motion sensitivity","◐ Medium","✓ High","WebGL 10/10, Three.js 10/10, p5.js 9/10","2024+ Generative","High",".generative-pattern { position: relative; overflow: hidden; } .generative-canvas { position: absolute; inset: 0; z-index: 0; } .generative-content { position: relative; z-index: 1; } .generative-noise { background-image: url('data:image/svg+xml,...'); animation: noise 0.5s steps(10) infinite; } @keyframes noise { 0%, 100% { transform: translate(0, 0); } 10% { transform: translate(-5%, -5%); } 20% { transform: translate(-10%, 5%); } } .generative-gradient { background: conic-gradient(from var(--angle, 0deg), #6366F1, #EC4899, #10B981, #6366F1); animation: rotate-gradient 10s linear infinite; } @keyframes rotate-gradient { to { --angle: 360deg; } }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"67","Emotional Design 2.0","General","Sentiment-aware, mood-responsive, emotional intelligence, adaptive tone, empathetic UI","Mood-adaptive: Calm #E0F2FE, Happy #FEF3C7, Focus #EDE9FE, Alert #FEE2E2","Sentiment-driven accents, time-of-day palette shifts","Breathing backgrounds, mood-responsive micro-animations, sentiment feedback loops","Mental health apps, wellness platforms, journaling, meditation, emotional tracking","Data-heavy dashboards, financial, legal, government","✓ Full","✓ Full","⚡ Good","✓ WCAG AA","✓ High","✓ High","React 10/10, Tailwind 9/10","2024+ Wellness","Medium",".emotional { transition: background-color 1s ease; } .emotional-calm { background: #E0F2FE; } .emotional-happy { background: #FEF3C7; } .emotional-focus { background: #EDE9FE; } .emotional-alert { background: #FEE2E2; } .emotional-breathe { animation: breathe 6s ease-in-out infinite; } @keyframes breathe { 0%, 100% { transform: scale(1); opacity: 0.8; } 50% { transform: scale(1.02); opacity: 1; } } .emotional-feedback { transition: all 400ms ease; border-radius: 16px; padding: 20px; } .emotional-positive { box-shadow: 0 0 20px rgba(34,197,94,0.2); }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
