No,Pattern Name,Keywords,Section Order,Primary CTA Placement,Color Strategy,Recommended Effects,Conversion Optimization,Layout_CSS,Grid_System_Config,Bento_Layout_Map,Responsive_Strategy,Platform_Support,Mobile_Adaptation,Safe_Area_CSS,Gesture_Hints
43,Modern Footer Layout,footer bottom social newsletter links sitemap copyright legal column grid,Logo + Description | Link Columns | Newsletter | Social Icons | Copyright,Newsletter signup,Dark/muted background #1F2937 or #0F172A with contrast links. Links: #9CA3AF hover #FFFFFF. Accent for newsletter button.,"Link hover underline animation, social icon hover scale/color, newsletter input focus glow, smooth scroll to top",Footer is last conversion opportunity. Include newsletter signup. Social proof (trust badges). Mobile: stack columns vertically.,".site-footer { background: #1f2937; color: #9ca3af; padding: 4rem 2rem 2rem; } .footer-grid { display: grid; grid-template-columns: 2fr repeat(3, 1fr) 1.5fr; gap: 3rem; max-width: 1280px; margin: 0 auto; } @media (max-width: 768px) { .footer-grid { grid-template-columns: 1fr; gap: 2rem; text-align: center; } } .footer-brand { display: flex; flex-direction: column; gap: 1rem; } .footer-brand p { line-height: 1.6; } .footer-links h4 { color: #fff; font-size: 0.875rem; font-weight: 600; text-transform: uppercase; letter-spacing: 0.05em; margin-bottom: 1rem; } .footer-links ul { list-style: none; padding: 0; margin: 0; display: flex; flex-direction: column; gap: 0.75rem; } .footer-links a { color: #9ca3af; text-decoration: none; transition: color 0.2s ease; } .footer-links a:hover { color: #fff; } .footer-newsletter h4 { color: #fff; margin-bottom: 1rem; } .newsletter-form { display: flex; gap: 0.5rem; } .newsletter-form input { flex: 1; padding: 0.75rem 1rem; border: 1px solid #374151; border-radius: 0.5rem; background: #374151; color: #fff; } .newsletter-form input:focus { outline: none; border-color: #3b82f6; box-shadow: 0 0 0 3px rgba(59,130,246,0.2); } .newsletter-form button { padding: 0.75rem 1.5rem; background: #3b82f6; color: #fff; border: none; border-radius: 0.5rem; cursor: pointer; transition: background 0.2s ease; } .newsletter-form button:hover { background: #2563eb; } .social-icons { display: flex; gap: 1rem; margin-top: 1.5rem; } @media (max-width: 768px) { .social-icons { justify-content: center; } } .social-icons a { color: #9ca3af; transition: color 0.2s ease, transform 0.2s ease; } .social-icons a:hover { color: #fff; transform: scale(1.1); } .footer-bottom { border-top: 1px solid #374151; margin-top: 3rem; padding-top: 2rem; display: flex; justify-content: space-between; align-items: center; max-width: 1280px; margin-left: auto; margin-right: auto; } @media (max-width: 768px) { .footer-bottom { flex-direction: column; gap: 1rem; } } .footer-legal { display: flex; gap: 1.5rem; } .footer-legal a { color: #9ca3af; text-decoration: none; font-size: 0.875rem; } .footer-legal a:hover { color: #fff; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""footer"",""colSpan"":12,""rowSpan"":1}]",Desktop: Multi-column grid. Mobile: Single column stack with centered content.,,,,
44,Section Dividers,divider wave diagonal separator section transition gradient parallax curve svg clip-path,N/A - Decorative pattern between sections,N/A - Visual transition element,Divider color matches next section background. Common: #F8FAFC to #FFFFFF or brand gradient. Use currentColor for flexibility.,"Wave subtle animation (optional), parallax depth layers, gradient fade transitions, smooth color blend",Use dividers to guide eye flow to next section. Match divider color to following section. SVG waves are resolution-independent.,".wave-divider { position: relative; width: 100%; overflow: hidden; line-height: 0; } .wave-divider svg { position: relative; display: block; width: calc(100% + 1.3px); height: 80px; } .wave-divider .shape-fill { fill: #FFFFFF; } /* Wave Divider Bottom - add to section::after */ .section-with-wave { position: relative; } .section-with-wave::after { content: ''; position: absolute; bottom: -1px; left: 0; right: 0; height: 80px; background: url(""data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 1200 120' preserveAspectRatio='none'%3E%3Cpath d='M321.39,56.44c58-10.79,114.16-30.13,172-41.86,82.39-16.72,168.19-17.73,250.45-.39C823.78,31,906.67,72,985.66,92.83c70.05,18.48,146.53,26.09,214.34,3V0H0V27.35A600.21,600.21,0,0,0,321.39,56.44Z' fill='%23ffffff'/%3E%3C/svg%3E"") no-repeat bottom center; background-size: 100% 100%; } /* Diagonal Divider using clip-path */ .diagonal-divider { position: relative; } .diagonal-divider::before { content: ''; position: absolute; top: 0; left: 0; right: 0; height: 100px; background: inherit; clip-path: polygon(0 0, 100% 0, 100% 0, 0 100%); } .section-diagonal-top { clip-path: polygon(0 10%, 100% 0, 100% 100%, 0 100%); margin-top: -50px; padding-top: 100px; } .section-diagonal-bottom { clip-path: polygon(0 0, 100% 0, 100% 90%, 0 100%); } /* Gradient Fade Divider using mask-image */ .gradient-fade-divider { position: relative; } .gradient-fade-divider::after { content: ''; position: absolute; bottom: 0; left: 0; right: 0; height: 150px; background: linear-gradient(to bottom, transparent, #ffffff); pointer-events: none; } .section-fade-transition { -webkit-mask-image: linear-gradient(to bottom, transparent 0%, black 15%, black 85%, transparent 100%); mask-image: linear-gradient(to bottom, transparent 0%, black 15%, black 85%, transparent 100%); } /* Curved Divider */ .curve-divider { position: absolute; bottom: 0; left: 0; width: 100%; overflow: hidden; line-height: 0; transform: rotate(180deg); } .curve-divider svg { position: relative; display: block; width: calc(134% + 1.3px); height: 100px; } @media (max-width: 768px) { .wave-divider svg, .curve-divider svg { height: 50px; } .section-diagonal-top { clip-path: polygon(0 5%, 100% 0, 100% 100%, 0 100%); margin-top: -25px; padding-top: 50px; } }","{""cols"":12,""gap"":""0"",""container"":""100%""}","[{""id"":""divider"",""colSpan"":12,""rowSpan"":1,""decorative"":true}]",Desktop: Full-width decorative. Mobile: Reduced height for performance.,,,,
45,Content Slider Carousel,slider carousel swiper autoplay pagination navigation dots arrows testimonials products featured Embla Swiper scroll-snap RTL touch gestures prefers-reduced-motion A11y,Container | Track | Slides | Navigation Arrows | Pagination Dots,Navigation arrows and pagination dots for engagement,Track bg: transparent or section color. Dots: inactive #CBD5E1 active brand color. Arrows: #1F2937 hover brand color.,"Slide transform transition 0.5s ease, dot scale on active, arrow hover translate, autoplay with pause on hover","Use for testimonials, products, featured content. Include touch/swipe support. Pause autoplay on interaction. Show 1-3 slides based on viewport. Limit to 5 slides max for engagement; pause autoplay on hover/focus; include keyboard navigation for accessibility.",".slider-container { position: relative; overflow: hidden; padding: 2rem 0; } .slider-track { display: flex; transition: transform 0.5s cubic-bezier(0.4, 0, 0.2, 1); } .slider-slide { flex: 0 0 100%; min-width: 0; padding: 0 1rem; box-sizing: border-box; } .slider-slide-multi { flex: 0 0 33.333%; } @media (max-width: 1024px) { .slider-slide-multi { flex: 0 0 50%; } } @media (max-width: 640px) { .slider-slide-multi { flex: 0 0 100%; } } .slider-content { background: #fff; border-radius: 1rem; padding: 2rem; box-shadow: 0 4px 20px rgba(0,0,0,0.08); height: 100%; } .slider-arrows { position: absolute; top: 50%; left: 0; right: 0; display: flex; justify-content: space-between; padding: 0 1rem; transform: translateY(-50%); pointer-events: none; z-index: 10; } .slider-arrow { width: 48px; height: 48px; border-radius: 50%; background: rgba(255,255,255,0.9); border: 1px solid #e5e7eb; display: flex; align-items: center; justify-content: center; cursor: pointer; pointer-events: auto; transition: all 0.2s ease; box-shadow: 0 2px 10px rgba(0,0,0,0.1); } .slider-arrow:hover { background: #fff; transform: scale(1.1); border-color: #3b82f6; color: #3b82f6; } .slider-arrow:disabled { opacity: 0.5; cursor: not-allowed; } .slider-arrow:disabled:hover { transform: none; } .slider-arrow-prev:hover { transform: scale(1.1) translateX(-2px); } .slider-arrow-next:hover { transform: scale(1.1) translateX(2px); } .slider-dots { display: flex; justify-content: center; gap: 0.5rem; margin-top: 1.5rem; } .slider-dot { width: 10px; height: 10px; border-radius: 50%; background: #cbd5e1; border: none; cursor: pointer; transition: all 0.3s ease; padding: 0; } .slider-dot:hover { background: #94a3b8; } .slider-dot.active { background: #3b82f6; transform: scale(1.2); } /* CSS scroll-snap alternative */ .slider-scroll-snap { scroll-snap-type: x mandatory; scroll-behavior: smooth; overflow-x: auto; display: flex; } .slider-scroll-snap .slider-slide { scroll-snap-align: start; } /* RTL support */ [dir=""rtl""] .slider-container { direction: rtl; } [dir=""rtl""] .slider-track { flex-direction: row-reverse; } /* Reduced motion */ @media (prefers-reduced-motion: reduce) { .slider-container { scroll-behavior: auto; } .slider-track { transition: none; } .slider-dot, .slider-arrow { transition: none; } } /* Touch gesture hint */ .slider-track { touch-action: pan-x; } /* Accessibility: add aria-live for slide announcements */ .slider-announcer { position: absolute; width: 1px; height: 1px; padding: 0; margin: -1px; overflow: hidden; clip: rect(0,0,0,0); white-space: nowrap; border: 0; } /* Autoplay progress bar optional */ .slider-progress { position: absolute; bottom: 0; left: 0; height: 3px; background: #3b82f6; transition: width 0.1s linear; }","{""cols"":12,""gap"":""1rem"",""container"":""1280px""}","[{""id"":""slider"",""colSpan"":12,""rowSpan"":1}]",Desktop: Show 3 slides. Tablet: Show 2 slides. Mobile: Show 1 slide with touch swipe.,,,,
46,Auto-Hiding Header,navbar hide scroll down show up auto hide reveal sticky header direction aware smart navigation disappear reappear,Direction-aware fixed header that hides on scroll down and reveals on scroll up,Reveals on scroll up for quick access to navigation,"Transparent when hidden via transform. Solid with blur when visible: rgba(255,255,255,0.95) with backdrop-filter blur(12px).",Transform translateY(-100%) for hide with smooth 0.3s transition. Box-shadow and backdrop-filter when visible. Direction detection.,"Best for content-heavy pages, mobile-first designs, blogs, documentation. Use 80px threshold before hiding to avoid jitter. Track scroll direction with prevScrollY comparison. Used by Linear, Vercel, Stripe.",".navbar { position: fixed; top: 0; left: 0; right: 0; z-index: 50; height: 64px; padding: 1rem 2rem; background: rgba(255,255,255,0.95); backdrop-filter: blur(12px); -webkit-backdrop-filter: blur(12px); box-shadow: 0 1px 3px rgba(0,0,0,0.1); transform: translateY(0); transition: transform 0.3s ease, box-shadow 0.3s ease; } .navbar.hidden { transform: translateY(-100%); box-shadow: none; } .navbar.at-top { background: transparent; backdrop-filter: none; box-shadow: none; } /* JS Direction Detection: let prevScrollY = window.scrollY; let ticking = false; window.addEventListener('scroll', () => { if (!ticking) { window.requestAnimationFrame(() => { const currScrollY = window.scrollY; const navbar = document.querySelector('.navbar'); // At top of page if (currScrollY <= 0) { navbar.classList.add('at-top'); navbar.classList.remove('hidden'); } else { navbar.classList.remove('at-top'); // Scrolling down past threshold - hide if (currScrollY > prevScrollY && currScrollY > 80) { navbar.classList.add('hidden'); } // Scrolling up - show else if (currScrollY < prevScrollY) { navbar.classList.remove('hidden'); } } prevScrollY = currScrollY; ticking = false; }); ticking = true; } }); */","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""nav"",""colSpan"":12,""rowSpan"":1,""sticky"":true}]","Desktop: Fixed top, full width. Mobile: Same behavior optimized for touch scrolling.",,,,
47,Tab Navigation Component,tabs tablist tabpanel ARIA accessible keyboard navigation animated indicator underline switch segmented,Tab trigger container | Tab content panels,Active tab content,"Subtle indicator color, accessible contrast for active state. Inactive tabs: #666666. Active tab: #000000. Indicator: var(--primary). Focus ring: var(--primary).",Animated underline indicator sliding with cubic-bezier transition. Focus-visible outline for accessibility. Tab hover color transition.,"ARIA-compliant tab pattern increases usability. Keyboard navigation (arrows, Home/End) required for accessibility. Use role=""tablist"" and role=""tab"". aria-selected for active state. Best for settings pages, product features, documentation, dashboards.",".tablist { display: flex; gap: 0.5rem; border-bottom: 1px solid rgba(0,0,0,0.1); position: relative; } .tab { padding: 0.75rem 1rem; background: none; border: none; cursor: pointer; color: #666; font-size: 0.875rem; font-weight: 500; transition: color 0.2s ease; position: relative; } .tab:hover { color: #333; } .tab[aria-selected=""true""] { color: #000; } .tab:focus-visible { outline: 2px solid var(--primary); outline-offset: 2px; border-radius: 4px; } .tab-indicator { position: absolute; bottom: -1px; height: 2px; background: var(--primary); transition: transform 0.3s cubic-bezier(0.4,0,0.2,1), width 0.3s cubic-bezier(0.4,0,0.2,1); } .tabpanel { padding: 1.5rem 0; } .tabpanel[hidden] { display: none; } .tabpanel:focus { outline: none; } /* JS: const tabs = document.querySelectorAll('[role=""tab""]'); const panels = document.querySelectorAll('[role=""tabpanel""]'); const indicator = document.querySelector('.tab-indicator'); function selectTab(tab) { tabs.forEach(t => t.setAttribute('aria-selected', 'false')); panels.forEach(p => p.hidden = true); tab.setAttribute('aria-selected', 'true'); document.getElementById(tab.getAttribute('aria-controls')).hidden = false; indicator.style.width = tab.offsetWidth + 'px'; indicator.style.transform = 'translateX(' + tab.offsetLeft + 'px)'; } tabs.forEach(tab => { tab.addEventListener('click', () => selectTab(tab)); tab.addEventListener('keydown', (e) => { const idx = [...tabs].indexOf(tab); if (e.key === 'ArrowRight') tabs[(idx + 1) % tabs.length].focus(); if (e.key === 'ArrowLeft') tabs[(idx - 1 + tabs.length) % tabs.length].focus(); if (e.key === 'Home') tabs[0].focus(); if (e.key === 'End') tabs[tabs.length - 1].focus(); if (e.key === 'Enter' || e.key === ' ') { e.preventDefault(); selectTab(tab); } }); }); selectTab(tabs[0]); */","{""cols"":12,""gap"":""1rem"",""container"":""1280px""}","[{""id"":""tablist"",""colSpan"":12,""rowSpan"":1},{""id"":""tabpanel"",""colSpan"":12,""rowSpan"":1}]",Desktop: Full width tabs. Mobile: Scrollable tab list or convert to accordion.,,,,
48,Analytics Dashboard Layout,dashboard analytics KPI cards widget grid metrics charts Recharts Tremor real-time indicators data visualization admin panel,KPI Cards Row | Chart Grid | Data Tables | Filters Sidebar,Key metrics and action buttons prominently displayed,Neutral bg: #F8FAFC or #F1F5F9. Card bg: #FFFFFF. Positive delta: #10B981. Negative delta: #EF4444. Charts: Brand color palette. Text: #0F172A.,"KPI card hover lift, number count-up animation, chart tooltip interactions, real-time data pulse indicator, skeleton loading states","Show positive metrics prominently with green deltas. Use sparklines for trends. KPI cards above fold. Responsive grid adapts 4→2→1 columns. Sidebar filters collapse to drawer on mobile. Used by Vercel, Linear, Stripe dashboards.",".dashboard { display: grid; grid-template-columns: 250px 1fr; gap: 1.5rem; min-height: 100vh; } .dashboard-main { padding: 1.5rem; } .dashboard-sidebar { background: #fff; border-right: 1px solid #e5e7eb; padding: 1.5rem; } .kpi-grid { display: grid; grid-template-columns: repeat(auto-fit, minmax(200px, 1fr)); gap: 1rem; margin-bottom: 1.5rem; } .kpi-card { background: #fff; border-radius: 12px; padding: 1.5rem; box-shadow: 0 1px 3px rgba(0,0,0,0.1); transition: transform 0.2s ease, box-shadow 0.2s ease; } .kpi-card:hover { transform: translateY(-2px); box-shadow: 0 4px 12px rgba(0,0,0,0.1); } .kpi-label { font-size: 0.875rem; color: #64748b; margin-bottom: 0.5rem; } .kpi-value { font-size: 2rem; font-weight: 700; color: #0f172a; } .kpi-delta { display: inline-flex; align-items: center; gap: 0.25rem; font-size: 0.875rem; margin-top: 0.5rem; } .kpi-delta.positive { color: #10b981; } .kpi-delta.negative { color: #ef4444; } .kpi-sparkline { margin-top: 1rem; height: 40px; } .chart-grid { display: grid; grid-template-columns: repeat(12, 1fr); gap: 1rem; } .chart-card { background: #fff; border-radius: 12px; padding: 1.5rem; box-shadow: 0 1px 3px rgba(0,0,0,0.1); grid-column: span 6; } .chart-card.full { grid-column: span 12; } .chart-card.third { grid-column: span 4; } .chart-header { display: flex; justify-content: space-between; align-items: center; margin-bottom: 1rem; } .chart-title { font-weight: 600; color: #0f172a; } .data-table { width: 100%; border-collapse: collapse; margin-top: 1.5rem; } .data-table th, .data-table td { padding: 0.75rem 1rem; text-align: left; border-bottom: 1px solid #e5e7eb; } .data-table th { background: #f8fafc; font-weight: 600; font-size: 0.75rem; text-transform: uppercase; color: #64748b; } @media (max-width: 1024px) { .chart-card { grid-column: span 12; } .chart-card.third { grid-column: span 6; } } @media (max-width: 768px) { .dashboard { grid-template-columns: 1fr; } .dashboard-sidebar { display: none; } .chart-card.third { grid-column: span 12; } }","{""cols"":12,""gap"":""1rem"",""sidebar_width"":""250px"",""mobile_behavior"":""drawer""}","[{""area"":""sidebar"",""colSpan"":2,""rowSpan"":12,""sticky"":true},{""area"":""kpi"",""colSpan"":10,""rowSpan"":1},{""area"":""charts"",""colSpan"":10,""rowSpan"":6},{""area"":""table"",""colSpan"":10,""rowSpan"":5}]",Desktop: Sidebar + 12-col content. Tablet: Collapsible sidebar. Mobile: Hidden sidebar with drawer toggle.,,,,
49,Mega Menu Navigation,mega menu dropdown navigation multi-column categories enterprise keyboard accessible focus trap ARIA hover flyout,Nav trigger | Mega dropdown panel | Category columns | Featured items,Product/feature links within categories,"Light bg panel: #FFFFFF. Subtle shadows: 0 8px 30px rgba(0,0,0,0.12). Accent on hover: var(--primary). Column headers: #666666. Links: #333333.",Visibility/opacity/transform transition 0.3s cubic-bezier. Staggered column reveal. Link hover color and arrow animation. Focus within keeps menu open.,"Enterprise navigation pattern used by Stripe, Apple, Vercel. Keyboard navigation required: arrows between columns, Escape to close. Use :focus-within to keep menu open. Featured section highlights key products. Mobile: convert to accordion or drawer.",".nav-container { position: relative; } .nav-list { display: flex; gap: 0.5rem; list-style: none; margin: 0; padding: 0; } .nav-item { position: relative; } .nav-trigger { display: flex; align-items: center; gap: 0.25rem; padding: 0.75rem 1rem; background: none; border: none; cursor: pointer; font-size: 0.875rem; font-weight: 500; color: #333; transition: color 0.2s ease; } .nav-trigger:hover, .nav-item:focus-within .nav-trigger { color: var(--primary); } .nav-trigger svg { transition: transform 0.2s ease; } .nav-item:hover .nav-trigger svg, .nav-item:focus-within .nav-trigger svg { transform: rotate(180deg); } .mega-menu { position: absolute; top: 100%; left: 50%; transform: translateX(-50%) translateY(-10px); width: 100vw; max-width: 1000px; visibility: hidden; opacity: 0; transition: all 0.3s cubic-bezier(0.4, 0, 0.2, 1); background: #fff; box-shadow: 0 8px 30px rgba(0,0,0,0.12); border-radius: 0 0 12px 12px; padding: 2rem; display: grid; grid-template-columns: repeat(4, 1fr); gap: 2rem; z-index: 1000; } .nav-item:hover .mega-menu, .nav-item:focus-within .mega-menu { visibility: visible; opacity: 1; transform: translateX(-50%) translateY(0); } .mega-column { display: flex; flex-direction: column; } .mega-column h3 { font-size: 0.75rem; text-transform: uppercase; letter-spacing: 0.05em; color: #666; margin-bottom: 1rem; font-weight: 600; } .mega-links { display: flex; flex-direction: column; gap: 0.5rem; } .mega-link { display: flex; align-items: center; gap: 0.75rem; padding: 0.5rem; border-radius: 8px; color: #333; text-decoration: none; transition: background 0.2s ease, color 0.2s ease; } .mega-link:hover { background: #f8fafc; color: var(--primary); } .mega-link:focus-visible { outline: 2px solid var(--primary); outline-offset: 2px; } .mega-link-icon { width: 40px; height: 40px; background: #f1f5f9; border-radius: 8px; display: flex; align-items: center; justify-content: center; } .mega-link-content { flex: 1; } .mega-link-title { font-weight: 500; font-size: 0.875rem; } .mega-link-desc { font-size: 0.75rem; color: #64748b; margin-top: 0.125rem; } .mega-featured { grid-column: span 1; background: #f8fafc; border-radius: 12px; padding: 1.5rem; } .mega-featured h4 { font-size: 0.875rem; font-weight: 600; margin-bottom: 0.75rem; }","{""cols"":12,""gap"":""2rem"",""container"":""1200px""}","[{""id"":""nav"",""colSpan"":12,""rowSpan"":1},{""id"":""mega-panel"",""colSpan"":12,""rowSpan"":1,""columns"":4}]",Desktop: Multi-column dropdown. Tablet: 2-column dropdown. Mobile: Accordion or full-screen drawer.,,,,
50,Mobile Bottom Navigation Pattern,mobile bottom nav tab bar thumb zone iOS Android Material 3 safe area 5 destinations badge notification floating dock,Bottom Tab Bar | Active Indicator | Badge Count | Safe Area Padding,Center primary action in thumb zone,"Active: Brand primary. Inactive: #9CA3AF. Badge: #EF4444. Background: rgba(255,255,255,0.95) with blur.","Active tab scale 1.1 with spring animation, badge pulse, haptic feedback integration, smooth color transitions",Limit to 3-5 key destinations. Place most important action center. Use filled icons for active state. Include safe-area-inset-bottom padding. Badge for notifications. 25% higher retention than hamburger menus.,".bottom-nav { position: fixed; bottom: 0; left: 0; right: 0; height: calc(56px + env(safe-area-inset-bottom)); padding-bottom: env(safe-area-inset-bottom); background: rgba(255,255,255,0.95); backdrop-filter: blur(12px); border-top: 1px solid rgba(0,0,0,0.08); display: flex; justify-content: space-around; align-items: center; z-index: 50; } .nav-item { display: flex; flex-direction: column; align-items: center; gap: 4px; padding: 8px 16px; color: #9CA3AF; } .nav-item.active { color: var(--primary, #3B82F6); transform: scale(1.05); } .nav-badge { position: absolute; top: 2px; right: 8px; min-width: 16px; height: 16px; background: #EF4444; color: white; font-size: 10px; border-radius: 8px; }","{""cols"":5,""gap"":""0"",""container"":""100%""}","[{""id"":""nav-item"",""colSpan"":1,""rowSpan"":1,""repeat"":5}]",Mobile-only pattern. Hide on desktop or transform to sidebar. Use CSS env() for safe areas.,,,,
51,Mobile Floating Tabs Pattern,floating tabs Material 3 expressive elevated pills segmented control iOS Android gesture swipe animated indicator,Floating Container | Tab Pills | Active Indicator | Swipe Gesture Area,Floating above content with elevation,"Active: White text on primary. Inactive: #6B7280 on transparent. Container: rgba(0,0,0,0.05) rounded-full.","Pill slide animation with spring physics, indicator morph, swipe gesture support, elevation shadow on scroll",Material 3 Expressive style. Use for 2-4 options. Rounded pill shape. Elevated above content. Support horizontal swipe to switch. Add haptic feedback on selection.,".floating-tabs { position: sticky; top: 16px; z-index: 40; display: flex; justify-content: center; padding: 0 16px; } .tabs-container { display: flex; background: rgba(0,0,0,0.05); border-radius: 100px; padding: 4px; box-shadow: 0 4px 20px rgba(0,0,0,0.1); } .tab-pill { padding: 10px 20px; font-size: 14px; font-weight: 500; color: #6B7280; background: transparent; border: none; border-radius: 100px; } .tab-pill.active { color: white; } .tab-indicator { position: absolute; background: var(--primary, #3B82F6); border-radius: 100px; }","{""cols"":1,""gap"":""0"",""container"":""100%""}","[{""id"":""floating-tabs"",""colSpan"":1,""rowSpan"":1,""sticky"":true}]",Mobile: Floating centered. Tablet: Can expand width. Desktop: Consider traditional tabs.,,,,
52,Mobile Gesture Navigation Pattern,gesture navigation swipe back edge swipe pinch zoom diagonal haptic feedback iOS Android touch interaction,Edge Swipe Area | Gesture Indicator | Haptic Zone | Visual Feedback Layer,Edge areas for navigation gestures,"Gesture indicator: rgba(0,0,0,0.1). Active gesture: Brand primary at 20% opacity. Feedback: Subtle blur effect.","Edge swipe reveals previous screen, pinch-to-zoom with smooth scaling, diagonal gesture support, haptic feedback pulses",Design for thumb reachability. Edge swipe for back (iOS/Android standard). Support pinch-to-zoom on media. Add visual feedback during gesture. Integrate haptic feedback. 40% faster navigation than button taps.,".gesture-container { position: relative; overflow: hidden; touch-action: manipulation; } .edge-swipe-zone { position: fixed; top: 0; bottom: 0; width: 20px; z-index: 100; } .gesture-indicator { position: fixed; top: 50%; left: 0; width: 8px; height: 60px; background: rgba(0,0,0,0.1); border-radius: 0 4px 4px 0; transform: translateY(-50%) translateX(-8px); opacity: 0; } .gesture-indicator.active { transform: translateY(-50%) translateX(0); opacity: 1; }","{""cols"":1,""gap"":""0"",""container"":""100%""}","[{""id"":""gesture-area"",""colSpan"":1,""rowSpan"":1,""fullscreen"":true}]",Mobile: Full gesture support. Tablet: Edge gestures. Desktop: Mouse alternatives.,,,,
53,Mobile Tab Bar Pattern,tab bar segmented iOS UIKit Android navigation pill selector switch toggle option,Tab Bar Container | Segment Options | Selection Indicator | Dividers,Prominent selection indicator,"Selected: White on primary or primary on white. Unselected: #6B7280. Divider: rgba(0,0,0,0.1).","Smooth indicator slide, segment press feedback, color fade transition, selection haptic",iOS-style segmented control. Use for 2-4 mutually exclusive options. Equal width segments. Clear visual distinction for selected state.,".tab-bar { display: flex; background: rgba(0,0,0,0.06); border-radius: 8px; padding: 2px; } .tab-segment { flex: 1; padding: 8px 12px; font-size: 13px; font-weight: 500; color: #6B7280; background: transparent; border: none; border-radius: 6px; text-align: center; } .tab-segment.selected { color: #1F2937; } .tab-bar-indicator { position: absolute; background: white; border-radius: 6px; box-shadow: 0 1px 3px rgba(0,0,0,0.1); }","{""cols"":1,""gap"":""0"",""container"":""100%""}","[{""id"":""tab-bar"",""colSpan"":1,""rowSpan"":1}]",Mobile: Full width. Tablet/Desktop: Consider max-width constraint or inline placement.,,,,
54,Mobile Card Feed Layout,card feed stream timeline social media modular scannable chunks live tracking micro-animations skeleton loading,Card Stack | Card Item | Media Zone | Action Bar | Loading Skeleton,Card action buttons in thumb zone,"Card bg: #FFFFFF. Border: rgba(0,0,0,0.08). Shadow: 0 2px 8px rgba(0,0,0,0.04). Accent: Brand primary for actions.","Card entrance stagger animation, pull-to-refresh spring, action button micro-interactions, skeleton shimmer loading, live content pulse",Design scannable content chunks. Support live tracking updates. Add micro-animations for engagement. Use skeleton loading for perceived performance. Thumb-friendly action placement.,".card-feed { display: flex; flex-direction: column; gap: 16px; padding: 16px; } .feed-card { background: white; border-radius: 16px; overflow: hidden; box-shadow: 0 2px 8px rgba(0,0,0,0.04); border: 1px solid rgba(0,0,0,0.08); } .skeleton { background: linear-gradient(90deg, #F3F4F6 25%, #E5E7EB 50%, #F3F4F6 75%); background-size: 200% 100%; animation: shimmer 1.5s infinite; } @keyframes shimmer { 0% { background-position: 200% 0; } 100% { background-position: -200% 0; } }","{""cols"":1,""gap"":""16px"",""container"":""100%""}","[{""id"":""card"",""colSpan"":1,""rowSpan"":1,""repeat"":""n""}]",Mobile: Single column stack. Tablet: 2-column grid. Desktop: 3-column masonry or grid.,,,,
55,Mobile Adaptive Grid Layout,adaptive grid responsive window size class foldable compact medium expanded Android iOS breakpoints fluid,Adaptive Container | Grid Cells | Breakpoint Handler | Size Class Detector,Adapt CTAs to current size class,Compact: Single column focus. Medium: 2-col balanced. Expanded: 3+ col with sidebar potential.,"Smooth grid reflow animation, cell resize transitions, orientation change handling, fold-aware animations","Use Android window size classes (compact <600dp, medium 600-840dp, expanded >840dp). Support foldable devices. Animate layout changes. Test all configurations.",".adaptive-grid { display: grid; gap: 16px; padding: 16px; } @media (max-width: 599px) { .adaptive-grid { grid-template-columns: 1fr; } } @media (min-width: 600px) and (max-width: 839px) { .adaptive-grid { grid-template-columns: repeat(2, 1fr); } } @media (min-width: 840px) { .adaptive-grid { grid-template-columns: repeat(3, 1fr); } }","{""cols"":""auto"",""gap"":""16px"",""container"":""100%""}","[{""id"":""cell"",""colSpan"":""responsive"",""rowSpan"":1}]",Compact: 1 col. Medium: 2 col. Expanded: 3+ col. Foldable: Split across fold.,,,,
56,Mobile Foldable Layout,foldable fold-aware dual screen hinge posture table-top flex mode Samsung Galaxy Fold Android 12L multi-window,Fold-Aware Container | Primary Pane | Secondary Pane | Hinge Spacer | Posture Detector,Split CTAs across fold when unfolded,Primary pane: Content focus. Secondary pane: Complementary info. Hinge area: Transparent spacer.,"Smooth pane transitions on fold/unfold, content reflow animation, hinge-aware spacing, posture change animations","Design for multiple postures (flat, flex, tent, book). Avoid placing interactive elements on fold. Use hinge as natural divider. Test with Fold emulator.",.foldable-container { display: grid; grid-template-columns: 1fr; min-height: 100vh; } @media (horizontal-viewport-segments: 2) { .foldable-container { grid-template-columns: env(viewport-segment-width 0 0) env(viewport-segment-width 1 0); } .primary-pane { grid-column: 1; } .secondary-pane { grid-column: 2; } } .pane { padding: 24px; overflow-y: auto; },"{""cols"":""fold-aware"",""gap"":""hinge"",""container"":""100%""}","[{""id"":""primary"",""colSpan"":1,""rowSpan"":1},{""id"":""secondary"",""colSpan"":1,""rowSpan"":1}]","Folded: Single pane. Unfolded: Dual pane. Flex mode: Top content, bottom controls.",,,,
